,date_time,open,close,delta_next_day,nextclose,prediction_0,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,prediction_6,prediction_7,prediction_8,prediction_9,prediction_10,prediction_11,prediction_12,prediction_13,prediction_14,prediction_15,prediction_16,prediction_17,prediction_18,prediction_19,prediction_20,prediction_21,prediction_22,prediction_23,prediction_24,prediction_25,prediction_26,prediction_27,prediction_28,prediction_29,prediction_30,prediction_31,prediction_32,prediction_33,prediction_34,prediction_35,prediction_36,prediction_37,prediction_38,prediction_39,prediction_40,prediction_41,prediction_42,prediction_43,prediction_44,prediction_45,prediction_46,prediction_47,prediction_48,prediction_49
126,2012-12-26,27.030000686645508,26.860000610351562,-0.5454425811767578,27.505442,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
127,2012-12-27,26.889999389648438,26.959999084472656,-0.9216709136962891,27.47167,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
128,2012-12-28,26.709999084472656,26.549999237060547,-0.683197021484375,27.393196,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
129,2012-12-31,26.59000015258789,26.709999084472656,0.3271331787109375,27.292868,1,2,1,2,2,0,0,2,1,1,2,1,1,2,2,1,2,2,2,2,0,2,2,2,2,1,2,2,2,1,2,0,2,2,0,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2
130,2013-01-02,27.25,27.6200008392334,0.1014556884765625,27.148544,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,1,0,1,2,2,1,2,0,2,1,2,1,1,1,1,2,2,0,0,1,1,2,0,2,2,1,2,2,2,2
131,2013-01-03,27.6299991607666,27.25,-0.4913520812988281,27.231352,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
132,2013-01-04,27.270000457763672,26.739999771118164,-0.6102027893066406,27.300203,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
133,2013-01-07,26.770000457763672,26.690000534057617,-0.6797885894775391,27.229788,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
134,2013-01-08,26.75,26.549999237060547,-0.4845428466796875,27.184544,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
135,2013-01-09,26.719999313354492,26.700000762939453,-0.618560791015625,27.07856,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
136,2013-01-10,26.649999618530273,26.459999084472656,-0.17539596557617188,27.005396,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,2,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,2,2,1
137,2013-01-11,26.489999771118164,26.829999923706055,0.05148506164550781,26.838514,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,0,2,1,2,1,2,0,1,2,0,2,1,2,1,1,1,1,2,2,1,1,1,1,0,1,2,0,1,2,2,2,2
138,2013-01-14,26.899999618530273,26.889999389648438,0.3826332092285156,26.827366,1,1,1,2,2,1,1,2,2,1,2,1,1,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,0,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2
139,2013-01-15,26.829999923706055,27.209999084472656,0.1325836181640625,26.907417,1,1,1,1,0,1,1,0,1,1,0,1,1,2,2,1,2,2,2,2,1,2,0,2,2,1,2,0,2,1,2,1,0,1,1,2,2,1,1,1,1,2,0,2,2,1,2,2,2,2
140,2013-01-16,27.149999618530273,27.040000915527344,0.224853515625,27.025146,1,0,1,2,2,1,1,2,0,1,2,1,1,2,2,1,2,2,2,2,1,2,0,2,2,1,2,0,2,1,2,1,2,0,0,2,2,1,0,1,0,2,2,2,2,1,2,2,2,2
141,2013-01-17,27.190000534057617,27.25,0.10890769958496094,27.141092,1,0,1,2,2,1,1,2,1,1,0,1,1,2,2,1,2,2,2,2,1,2,1,0,0,1,2,1,0,1,2,1,0,1,1,2,2,1,1,1,1,0,0,2,2,1,2,2,2,2
142,2013-01-18,27.100000381469727,27.25,-0.07825088500976562,27.22825,1,1,1,1,0,1,1,0,1,1,1,1,1,2,2,1,2,2,0,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,2,1,1,2,0,2,0
143,2013-01-22,27.299999237060547,27.149999618530273,0.3222179412841797,27.287783,1,2,1,2,2,2,2,2,2,1,2,1,1,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2
144,2013-01-23,27.200000762939453,27.610000610351562,0.3230457305908203,27.306953,1,2,0,2,2,2,2,2,2,1,2,1,1,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2
145,2013-01-24,27.700000762939453,27.6299991607666,0.4503288269042969,27.42967,1,2,2,2,2,2,2,2,2,0,2,0,0,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,0,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2
146,2013-01-25,27.579999923706055,27.8799991607666,0.5063247680664062,27.403675,1,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2
147,2013-01-28,28.010000228881836,27.90999984741211,0.4893474578857422,27.520653,1,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2
148,2013-01-29,27.81999969482422,28.010000228881836,0.10007095336914062,27.74993,1,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,2,2,2,2,1,2,1,2,0,1,2,1,1,1,1,1,2,1,1,2,2,1,1,1,0,1,0,2,2,1,2,2,2,2
149,2013-01-30,28.010000228881836,27.850000381469727,-0.4788532257080078,27.928854,1,2,1,2,2,1,1,0,1,1,1,1,1,0,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
150,2013-01-31,27.790000915527344,27.450000762939453,-0.1320056915283203,28.062006,1,2,0,2,2,2,2,2,1,1,2,1,1,2,2,1,2,2,2,2,1,0,1,1,1,1,2,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,2,1,1,2,0,2,1
151,2013-02-01,27.670000076293945,27.93000030517578,-0.5855064392089844,28.025507,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
152,2013-02-04,27.8700008392334,27.440000534057617,-0.5321941375732422,28.032194,1,2,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
